creation_date,barcode,material,material_description,brand,material_group,prodhier,MTART,material_category,size,supplier,date_received,cost,srp,gp
5/6/2017,9.902E+12,TIFO0001,DO NOT USE (SHOWER ENC L1601 1200X800X6M,Eagle's Claw,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0002,DO NOT USE (SHOWER ENC L1601 1200X800X6M,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0003,DO NOT USE (SHOWER ENC L1602 900X900X6MM,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0004,DO NOT USE (SHOWER ENC L1615 900X900X6MM,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0005,DO NOT USE (SHOWER ENC L1809 900X900X8MM,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0006,DO NOT USE (SHOWER ENC LD009 900X900X6MM,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0007,DO NOT USE (SHOWER ENC LD009A 900X900X6M,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),9/13/2017,8381.54,,
5/6/2017,9.902E+12,TIFO0008,DO NOT USE (SHOWER ENC LD010 900X900X6MM,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0009,DO NOT USE (SHOWER ENC LDO17 1200X800X6M,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),9/11/2017,12122.76,,
5/6/2017,9.902E+12,TIFO0010,DO NOT USE (SHOWER EN LD017A 1200X800X6M,Croco,Bathroom,For Reclass (Imp Basins and Lavatories),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/6/2017,9.902E+12,TIFO0011,DO NOT USE (SHOWER RM LD010A 900X900X6MM,Croco,Bathroom,For Reclass (Imp Bathroom Sets),HAWA,Importation,,9FKF (FOSHAN KANGFAN),,,,
5/17/2017,8.828E+12,TVSP0173,SO ATLANTA SANITARY PIPE S1000 8,Atlanta,Plumbing,Gutter and Accessory,HAWA,Outright,,8EXC (EXICON CONSTRUCTION),5/22/2017,1876.8,2345,0.199658849
5/22/2017,9.901E+12,TIFA0011,(FPO)PK6200 60X60 POLISHED GLAZED TILE,Novtek,Floor and Wall Cover,For Reclass (Pool Tiles),HAWA,Importation,60X60,PHASED-OUT ITEMS,,,82.46,
5/22/2017,9.901E+12,TIFA0012,(FPO)AJC669 60X60 POLISHED TILE,Novtek,Floor and Wall Cover,For Reclass (Pool Tiles),HAWA,Importation,60X60,PHASED-OUT ITEMS,,,113,
5/22/2017,9.904E+12,TIFC0008,G603 180 FC MARBLE STONE,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X180,9FCHY (FUZHOU CHINHOY STONE CO LTD),5/27/2017,1787.28,1117.91,-0.598769132
5/22/2017,9.904E+12,TIFC0009,G655 180 FC MARBLE ASH,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X180,9FCHY (FUZHOU CHINHOY STONE CO LTD),5/27/2017,2088.98,1297.31,-0.61023965
5/22/2017,9.904E+12,TIFC0010,G654 180 FC BEACH SAND,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X180,9FCHY (FUZHOU CHINHOY STONE CO LTD),6/10/2017,2088.98,1322.94,-0.579043645
5/22/2017,9.904E+12,TIFC0011,G654 240 FC BEACH SAND NEW,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X240,9RISH (FUJIAN QUANZHOU RISHEN STONE CO.),5/27/2017,2625.68,1815.18,-0.446512192
5/22/2017,9.904E+12,TIFC0012,(FPO) G681 180 FC ANGELA PEACH,Generic Floor and Wall Coverings,Floor and Wall Cover,For Reclass (Imp Countertops),HAWA,Importation,60X180,9RISH (FUJIAN QUANZHOU RISHEN STONE CO.),6/23/2017,1474.72,1291.68,-0.141706924
5/22/2017,9.904E+12,TIFC0013,G681 240 FC ANGELA PEACH,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X240,9FCHY (FUZHOU CHINHOY STONE CO LTD),6/23/2017,2913.77,1763.92,-0.651871967
5/22/2017,9.904E+12,TIFC0014,FC METEORS BLACK BG 180,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X180,9FCHY (FUZHOU CHINHOY STONE CO LTD),5/27/2017,2396.19,3245.06,0.261588384
5/22/2017,9.904E+12,TIFC0015,FC METEORS BLACK BG 240X60X2,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X240,9FCHY (FUZHOU CHINHOY STONE CO LTD),6/23/2017,3685.1,4771.54,0.227691689
5/22/2017,9.904E+12,TIFC0016,FC CHARCOAL BLACK 180,Generic Floor and Wall Coverings,Floor and Wall Cover,Countertop - Polished,HAWA,Importation,60X180,9FCHY (FUZHOU CHINHOY STONE CO LTD),5/27/2017,2605.58,1963.65,-0.326906526
5/22/2017,9.902E+12,TIFO0012,1501 BATHTUB 1500X730MM,Stota,Bathroom,For Reclass (Imp Bathtubs),HAWA,Importation,,9FKF (FOSHAN KANGFAN),8/3/2017,8293.64,11100,0.252825225
5/22/2017,9.902E+12,TIFO0013,1501 BATHTUB 1500X730MM 1.5,Stota,Bathroom,For Reclass (Imp Bathtubs),HAWA,Importation,,9FKF (FOSHAN KANGFAN),8/3/2017,6263.55,10499.75,0.403457225
5/22/2017,9.902E+12,TIFO0014,L1311 SHOWER ENCLOSURE 1200X800X6MM,Stota,Bathroom,For Reclass (Imp Shower Enclosures),HAWA,Importation,,9FKF (FOSHAN KANGFAN),9/13/2017,12969.71,18950,0.315582586
5/24/2017,8.802E+12,TACP0086,GENTLE TOUCH 4L ROS530,Rain or Shine,Paints,Enamel,HAWA,Outright,,8ACP (ASIAN COATINGS PHILS INC),,,567,
5/24/2017,8.804E+12,TCLC0123,OREGON FRAMES KD S4S 2X2X8,Oregon,Lumber & Woodworks,Indoor Lumber,HAWA,Outright,,8CLC (CENTRAL LUMBER CORPORATION),6/5/2017,90,170,0.470588235
5/24/2017,8.809E+12,TDDP0018,(FPO) UPVC SLDNG WNDW 100X120 W/ SCRN WH,Dream Door,Building Materials,UPVC Window,HAWA,Outright,,8DDR (DREAM DOOR PHILS ENTERPRISES),9/5/2017,3600,3600,0
5/24/2017,8.809E+12,TDDP0019,(FPO) UPVC SLDNG WNDW 60X60 W/ SCRN WH,Dream Door,Building Materials,UPVC Window,HAWA,Outright,,8DDR (DREAM DOOR PHILS ENTERPRISES),9/5/2017,1500,1600,0.0625
